Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
28775135,08/28/2014 10:33:00 AM,08/30/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10460,1538 BRYANT AVENUE,BRYANT AVENUE,EAST 172 STREET,EAST 173 STREET,,,ADDRESS,BRONX,,N/A,Closed,,08/30/2014 12:00:00 PM,03 BRONX,BRONX,1015573,243006,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.83361516081798,-73.88680821155339,"(40.83361516081798, -73.88680821155339)"
28776929,08/28/2014 09:29:00 AM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,1640 EASTCHESTER ROAD,EASTCHESTER ROAD,CHESBROUGH AVENUE,NYCTA YARD BOUNDARY,,,ADDRESS,BRONX,,N/A,Open,,,11 BRONX,BRONX,1027308,247098,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.844797076697084,-73.84437529941249,"(40.844797076697084, -73.84437529941249)"
28775107,08/28/2014 09:24:00 AM,08/29/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,2563 ST RAYMOND AVENUE,ST RAYMOND AVENUE,OVERING STREET,BENSON STREET,,,ADDRESS,BRONX,,N/A,Closed,,08/29/2014 12:00:00 PM,10 BRONX,BRONX,1026665,246144,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84218174202708,-73.84670532614344,"(40.84218174202708, -73.84670532614344)"
28767862,08/27/2014 11:56:00 PM,08/28/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10459,,,,,BRUCKNER BOULEVARD,HUNTS POINT AVENUE,INTERSECTION,BRONX,,N/A,Closed,,08/28/2014 12:00:00 PM,02 BRONX,BRONX,1014509,238113,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82018899074458,-73.89067524722688,"(40.82018899074458, -73.89067524722688)"
28769755,08/27/2014 07:35:00 PM,08/29/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10468,41 WEST 205 STREET,WEST 205 STREET,PAUL AVENUE,GOULDEN AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/29/2014 12:00:00 PM,07 BRONX,BRONX,1014663,258865,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.877146527868376,-73.89002472090561,"(40.877146527868376, -73.89002472090561)"
28767201,08/27/2014 11:35:00 AM,08/28/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10469,1837 STILLWELL AVENUE,STILLWELL AVENUE,ASTOR AVENUE,DEMEYER STREET,,,ADDRESS,BRONX,,N/A,Closed,,08/28/2014 12:00:00 PM,11 BRONX,BRONX,1030519,252207,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.858803498719006,-73.83273453708786,"(40.858803498719006, -73.83273453708786)"
28763702,08/27/2014 09:39:00 AM,08/28/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10468,2797 WEBB AVENUE,WEBB AVENUE,WEST 195 STREET,WEST 197 STREET,,,ADDRESS,BRONX,,N/A,Closed,,08/28/2014 12:00:00 PM,08 BRONX,BRONX,1011592,256882,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.87171385464539,-73.90113772867727,"(40.87171385464539, -73.90113772867727)"
28767861,08/27/2014 09:31:00 AM,08/30/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10454,,,,,EAST 142 STREET,ST ANN'S AVENUE,INTERSECTION,BRONX,,N/A,Closed,,08/30/2014 12:00:00 PM,01 BRONX,BRONX,1007605,234283,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.80969766848222,-73.91563247757213,"(40.80969766848222, -73.91563247757213)"
28756530,08/26/2014 02:14:00 PM,08/30/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10454,331 EAST 132 STREET,EAST 132 STREET,ALEXANDER AVENUE,WILLIS AVENUE BRIDGE,,,ADDRESS,BRONX,,N/A,Closed,,08/30/2014 12:00:00 PM,01 BRONX,BRONX,1004277,232946,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.806036145259405,-73.92765851614293,"(40.806036145259405, -73.92765851614293)"
28759235,08/26/2014 10:26:00 AM,08/27/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,1631 OVERING STREET,OVERING STREET,ST RAYMONDS AVENUE,MACLAY AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/27/2014 12:00:00 PM,10 BRONX,BRONX,1026377,246220,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.842391718134664,-73.84774572522664,"(40.842391718134664, -73.84774572522664)"
